"Flume","Treatment","Order","Family","Type","Sample_Group","Plate_ID","Plate_Position","Sample_ID","Weight_mg","d15N","perc_N","d13C","perc_C","C_N","Concd15N","Concd13C"
"Flume 3","ALAN","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","E9","F3EPH3",0.958,9.08471428571429,11.2137841424053,-27.3262857142857,44.2353705778662,3.94473177083806,0.112137841424053,0.442353705778662
"Flume 4","Control","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","E10","F4G1",0.7758,7.51971428571429,7.10817284145654,-26.0652857142857,33.2688824936287,4.68037050247242,0.0710817284145654,0.332688824936287
"Flume 4","Control","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","E11","F4G2",0.8996,7.06371428571429,6.13886360281651,-25.9682857142857,32.3352459696959,5.26730158247212,0.0613886360281651,0.323352459696959
"Flume 4","Control","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","E12","F4G3",1.2388,6.57871428571429,6.45749245402136,-26.6992857142857,33.9099823363483,5.25126162791427,0.0645749245402136,0.339099823363483
"Flume 4","Control","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","F1","F4CH1",0.666,7.07371428571429,8.33854610937214,-25.9352857142857,36.0319194606818,4.32112732700292,0.0833854610937214,0.360319194606818
"Flume 4","Control","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","F2","F4CH2",0.8885,7.63571428571429,7.69011161785902,-25.2832857142857,37.9654263772844,4.93691486728436,0.0769011161785902,0.379654263772844
"Flume 4","Control","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","F3","F4CH3",0.7055,6.23171428571429,9.4386514061058,-25.9082857142857,40.7798594703691,4.32051759470521,0.094386514061058,0.407798594703691
"Flume 4","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","F4","F4EPH1",0.959,6.93471428571429,10.6369920959228,-28.7822857142857,42.4925344169126,3.99478856745605,0.106369920959228,0.424925344169126
"Flume 5","Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","F5","F5G1",1.2322,6.99871428571429,6.10838179989718,-25.6552857142857,29.64026317522,4.85239203216128,0.0610838179989718,0.2964026317522
"Flume 5","Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","F6","F5G2",0.8252,7.56971428571429,6.75533800261052,-26.1712857142857,34.6030893993776,5.12233279608002,0.0675533800261052,0.346030893993776
"Flume 5","Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","F7","F5G3",0.8589,6.76371428571429,7.43555107443316,-25.8612857142857,36.2201740586974,4.87121582463996,0.0743555107443316,0.362201740586974
"Flume 5","Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","F8","F5CH2",0.2409,7.50471428571429,9.11456746240723,-25.8632857142857,42.5338301328713,4.66657691747863,0.0911456746240723,0.425338301328713
"Flume 5","Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","F9","F5CH1",0.6629,7.46371428571429,8.92662879584767,-25.5582857142857,39.1482903526144,4.38556270770716,0.0892662879584767,0.391482903526144
"Flume 5","Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","F10","F5CH3",0.5538,7.52471428571429,8.38524861096131,-25.1552857142857,39.4242637732651,4.70162133555935,0.0838524861096131,0.394242637732651
"Flume 5","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","F11","F5EPH1",0.8947,8.81871428571429,9.88151186614569,-28.2842857142857,39.4521751971406,3.99252419382349,0.0988151186614569,0.394521751971406
"Flume 5","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","F12","F5EPH2",0.9094,7.69971428571429,9.79710029534845,-26.8812857142857,41.2590465656649,4.21135288216394,0.0979710029534845,0.412590465656649
"Flume 5","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","G1","F5EPH3",0.8329,8.06071428571429,10.1550924022158,-27.8022857142857,46.41623872392,4.57073524154169,0.101550924022158,0.4641623872392
"Flume 6","ALAN","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","G2","F6G1",0.9767,7.39871428571429,6.85952801388992,-25.4252857142857,32.1404946971471,4.68552568515873,0.0685952801388992,0.321404946971471
"Flume 6","ALAN","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","G3","F6G2",1.0485,7.86771428571429,6.59794879949031,-26.8242857142857,32.0836949834828,4.86267716808612,0.0659794879949031,0.320836949834828
"Flume 6","ALAN","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","G4","F6G3",0.8722,6.57771428571429,5.9863370933139,-26.3002857142857,31.6595544544699,5.28863543114374,0.059863370933139,0.316595544544699
"Flume 6","ALAN","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","G5","F6CH1",0.8788,7.45671428571429,9.84978696121231,-25.6812857142857,41.6729217923917,4.23084498745977,0.0984978696121231,0.416729217923917
"Flume 6","ALAN","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","G6","F6CH2",0.9073,6.95071428571429,8.12369815474488,-26.1542857142857,35.3822981221152,4.35544224417659,0.0812369815474488,0.353822981221152
"Flume 6","ALAN","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","G7","F6CH3",0.8486,7.45171428571429,9.82890842173658,-25.6162857142857,40.9298073556367,4.16422715518649,0.0982890842173658,0.409298073556367
"Flume 6","ALAN","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","G8","F6EPH1",0.3936,7.55571428571429,9.80277343790231,-29.4752857142857,38.993425591971,3.9777952473331,0.0980277343790231,0.38993425591971
"Flume 6","ALAN","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","G9","F6EPH2",0.9211,7.22171428571429,10.0171003966768,-28.2172857142857,40.4873488454687,4.04182320653396,0.100171003966768,0.404873488454687
